hhid14_9,age,marstat,sex,pidlink,dl01f,dl06,sw00,sw01,sw03,tk01a,tr11,kk01,kr03,female,fo01
307110009,19,1,3,307110009,E,4,4,3,6,0,3,3,0,1,3
307110000,17,1,1,307110010,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
307110000,34,2,3,307110011,R,3,4,3,6,0,3,3,1,1,3
307110004,38,2,3,307114204,E,4,4,3,4,1,4,3,1,1,1
307110002,29,2,1,307115101,,3,NA,NA,NA,1,NA,4,1,0,NA
307120000,59,2,1,307120001,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
307120000,49,2,3,307120002,E,3,3,3,NA,1,3,2,1,1,NA
307120000,27,1,1,307120003,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
307120000,25,2,1,307120004,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
307120000,23,2,1,307120005,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
307120000,20,2,1,307120006,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
307120007,19,1,3,307120007,E,4,5,3,NA,0,3,4,0,1,NA
307120000,17,1,3,307120008,E,3,3,5,5,0,4,3,1,1,0
307120000,25,2,3,307120010,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
307120000,26,2,3,307120011,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
307120000,21,2,3,307120012,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
307120000,18,1,3,307120016,E,3,3,3,5,0,3,4,1,1,2
307130000,44,2,1,307130005,E,4,4,3,3,1,2,3,1,0,0
307130000,31,2,3,307130006,E,4,5,3,4,1,4,3,1,1,1
307140000,61,4,1,307140001,L,1,3,2,2,0,3,2,1,0,0
307140000,24,2,3,307140003,L,1,3,2,3,0,3,3,1,1,1
307140000,26,2,1,307140004,E,NA,2,2,4,1,1,1,1,0,2
307150000,64,5,3,307150002,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
307150000,45,2,3,307150003,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
307150000,45,2,1,307150004,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
307150000,20,1,3,307150006,L,4,4,4,5,0,3,3,1,1,1
307160000,71,5,3,307160002,,1,NA,NA,NA,0,NA,2,1,1,NA
307163100,42,2,1,307160004,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
307164100,40,2,1,307160005,E L,2,5,3,4,1,3,3,1,0,1
307163100,43,2,3,307163103,L,4,3,4,5,1,3,2,0,1,1
307164100,39,2,3,307164102,E,3,3,3,5,1,3,3,1,1,2
307170000,51,2,1,307170001,,1,NA,NA,NA,0,NA,3,1,0,NA
307170000,49,2,3,307170002,E,1,4,2,2,0,3,2,1,1,0
307170000,31,4,1,307170003,E,1,4,3,4,1,3,2,1,0,1
307170000,28,2,1,307170004,,1,NA,NA,NA,1,NA,3,1,0,NA
307170000,26,2,3,307170005,E,1,4,3,4,0,4,2,1,1,1
307173100,37,2,3,307170007,E,1,3,2,4,1,3,2,1,1,2
307174100,40,2,1,307170008,L,3,4,4,NA,1,3,2,0,0,NA
307170000,21,1,1,307170010,,1,NA,NA,NA,1,NA,4,1,0,NA
307170011,19,2,3,307170011,L,2,3,1,4,1,4,4,1,1,3
307170000,27,2,3,307170015,E,1,4,4,5,0,3,3,1,1,1
307173100,20,3,1,307173107,E,1,3,2,NA,0,3,3,1,0,NA
307173100,18,2,1,307173108,E,1,3,2,NA,1,3,3,1,0,NA
307173100,15,3,3,307173109,E,1,2,2,3,0,4,3,1,1,1
307173100,46,2,1,307173111,L,1,2,1,3,1,3,2,1,0,2
307174100,30,2,3,307174102,E,4,3,2,3,1,2,1,0,1,1
307170011,23,2,1,307175101,L,3,4,3,4,1,3,3,1,0,1
307190001,47,2,1,307190001,E,2,3,3,3,0,2,2,1,0,0
307190001,42,2,3,307190002,L,1,3,3,4,1,3,2,1,1,1
307190000,24,2,3,307190003,E,3,3,3,5,0,2,3,0,1,2
307190001,22,1,1,307190004,E,4,3,4,5,1,3,4,1,0,1
307190001,20,1,3,307190005,E,3,3,4,5,1,3,3,1,1,1
307190001,16,1,3,307190006,E,3,3,1,5,0,4,2,1,1,4
307190000,32,2,1,307190010,E,3,3,2,NA,1,3,3,0,0,NA
307201100,30,2,3,307200003,L,5,3,2,3,0,4,3,1,1,1
307200000,37,2,3,307200004,L,4,4,3,3,1,0,2,1,1,0
307200000,39,2,1,307200005,L,4,3,4,5,1,4,4,1,0,1
307200000,52,2,3,307200009,,1,NA,NA,NA,0,NA,2,1,1,NA
307201100,32,2,1,307201105,,2,NA,NA,NA,1,NA,3,1,0,NA
307201100,15,1,3,307201106,L,3,4,4,5,1,3,3,1,1,1
308010000,73,2,1,308010001,,NA,NA,NA,NA,0,NA,2,1,0,NA
308010000,52,2,3,308010002,,1,NA,NA,NA,1,NA,2,1,1,NA
308010000,21,1,3,308010003,,1,NA,NA,NA,1,NA,3,1,1,NA
308020000,52,2,1,308020001,E,1,3,2,2,1,4,3,1,0,0
308020000,51,2,3,308020002,E,1,2,2,2,0,4,3,1,1,0
308024100,31,2,3,308020003,E,1,3,2,3,1,3,3,1,1,1
308024200,29,2,3,308020004,E,NA,3,4,NA,1,3,3,1,1,NA
308024300,26,2,3,308020005,E,2,4,4,4,0,4,3,1,1,0
308020000,24,4,3,308020006,E,1,3,3,NA,0,2,3,1,1,NA
308020000,19,1,1,308020008,,1,NA,NA,NA,1,NA,4,1,0,NA
308020000,16,1,3,308020009,E,3,4,2,2,0,4,3,1,1,0
308020000,15,1,3,308020010,E,2,3,NA,NA,0,4,3,1,1,NA
308020000,84,5,1,308020012,,1,NA,NA,NA,0,NA,1,1,0,NA
308024100,33,2,1,308024101,E,1,4,3,4,1,3,3,1,0,1
308024200,28,2,1,308024201,E,1,2,2,2,1,3,3,1,0,0
